# BJD     Detrended data    Detrended data errors  Airmass   Original data   Original data errors    Model applied 
2458325.3253784       1.0046626       0.0010329            nan   3157.7079063      3.2463463   3143.0529683
2458325.3461914       1.0064989       0.0010376            nan   3163.4794447      3.2612838   3143.0529683
2458325.3670044       1.0037357       0.0010401            nan   3154.7946100      3.2689446   3143.0529683
2458325.3878784       1.0055188       0.0010421            nan   3160.3989143      3.2754341   3143.0529683
2458325.4086914       1.0053151       0.0010436            nan   3159.7586001      3.2799929   3143.0529683
2458325.4295044       1.0045837       0.0010443            nan   3157.4597473      3.2823906   3143.0529683
2458325.4503784       1.0034168       0.0010450            nan   3153.7922012      3.2844457   3143.0529683
2458325.4711914       1.0049667       0.0010463            nan   3158.6635933      3.2886717   3143.0529683
2458325.4920044       1.0058262       0.0010479            nan   3161.3649674      3.2935305   3143.0529683
2458325.5128784       1.0017919       0.0010489            nan   3148.6851479      3.2966330   3143.0529683
2458325.5336914       1.0030054       0.0010505            nan   3152.4991566      3.3016459   3143.0529683
2458325.5545044       1.0036077       0.0010522            nan   3154.3922362      3.3071673   3143.0529683
2458325.5753784       1.0036645       0.0010539            nan   3154.5708301      3.3125454   3143.0529683
2458325.5961914       1.0029396       0.0010547            nan   3152.2923525      3.3151210   3143.0529683
2458325.6170044       1.0051363       0.0010558            nan   3159.1966363      3.3183533   3143.0529683
2458325.6378784       1.0032461       0.0010554            nan   3153.2556846      3.3171937   3143.0529683
2458325.6586914       1.0046064       0.0010552            nan   3157.5310861      3.3166465   3143.0529683
2458325.6795044       1.0044128       0.0010551            nan   3156.9227848      3.3163537   3143.0529683
2458325.7003784       1.0038694       0.0010555            nan   3155.2147562      3.3175184   3143.0529683
2458325.7211914       1.0060139       0.0010563            nan   3161.9551031      3.3199979   3143.0529683
2458325.7420044       1.0060907       0.0010576            nan   3162.1964794      3.3240844   3143.0529683
2458325.7628784       1.0050855       0.0010587            nan   3159.0369240      3.3274673   3143.0529683
2458325.7836914       1.0050593       0.0010605            nan   3158.9547140      3.3333190   3143.0529683
2458325.8045044       1.0043478       0.0010616            nan   3156.7184122      3.3366419   3143.0529683
2458325.8253784       1.0039007       0.0010624            nan   3155.3129698      3.3392649   3143.0529683
2458325.8461914       1.0032647       0.0010629            nan   3153.3141466      3.3408010   3143.0529683
2458325.8670044       1.0039925       0.0010628            nan   3155.6017319      3.3403676   3143.0529683
2458325.8878784       1.0033766       0.0010616            nan   3153.6657953      3.3366444   3143.0529683
2458325.9086914       1.0027746       0.0010609            nan   3151.7737770      3.3345552   3143.0529683
2458325.9295044       1.0039843       0.0010602            nan   3155.5757940      3.3323670   3143.0529683
2458325.9503784       1.0033493       0.0010603            nan   3153.5798500      3.3326065   3143.0529683
2458325.9711914       1.0037938       0.0010601            nan   3154.9771665      3.3320222   3143.0529683
2458325.9920044       1.0014458       0.0010603            nan   3147.5970566      3.3326937   3143.0529683
2458326.0128784       1.0022461       0.0010617            nan   3150.1125593      3.3370048   3143.0529683
2458326.0336914       1.0012563       0.0010630            nan   3147.0016125      3.3409168   3143.0529683
2458326.0545044       1.0047451       0.0010638            nan   3157.9671451      3.3434667   3143.0529683
2458326.0753784       1.0063743       0.0010645            nan   3163.0876450      3.3459317   3143.0529683
2458326.0961914       1.0037664       0.0010648            nan   3154.8909919      3.3466543   3143.0529683
2458326.1170044       1.0041561       0.0010653            nan   3156.1159018      3.3483387   3143.0529683
2458326.1378784       1.0032556       0.0010653            nan   3153.2854571      3.3483690   3143.0529683
2458326.1586914       1.0033297       0.0010657            nan   3153.5185432      3.3496846   3143.0529683
2458326.1795044       1.0048501       0.0010661            nan   3158.2970906      3.3506837   3143.0529683
2458326.2003784       1.0041545       0.0010657            nan   3156.1107917      3.3496800   3143.0529683
2458326.2211914       1.0037632       0.0010656            nan   3154.8810337      3.3491487   3143.0529683
2458326.2420044       1.0046386       0.0010660            nan   3157.6322941      3.3504898   3143.0529683
2458326.2628784       1.0071267       0.0010662            nan   3165.4526252      3.3510306   3143.0529683
2458326.2836914       1.0041616       0.0010657            nan   3156.1329637      3.3496868   3143.0529683
2458326.3045044       1.0037255       0.0010661            nan   3154.7623595      3.3507256   3143.0529683
2458326.3253784       1.0039727       0.0010661            nan   3155.5392909      3.3508611   3143.0529683
2458326.3461914       1.0062056       0.0010672            nan   3162.5573699      3.3543617   3143.0529683
2458326.3670044       1.0045958       0.0010678            nan   3157.4979065      3.3562600   3143.0529683
2458326.3878784       1.0035229       0.0010681            nan   3154.1255394      3.3572352   3143.0529683
2458326.4086914       1.0053227       0.0010693            nan   3159.7823641      3.3609470   3143.0529683
2458326.4295044       1.0026603       0.0010696            nan   3151.4144574      3.3619151   3143.0529683
2458326.4503784       1.0026982       0.0010703            nan   3151.5336559      3.3640256   3143.0529683
2458326.4711914       1.0006797       0.0010708            nan   3145.1893090      3.3655178   3143.0529683
2458326.4920044       1.0034921       0.0010718            nan   3154.0286960      3.3687224   3143.0529683
2458326.5128784       1.0038717       0.0010729            nan   3155.2218261      3.3723222   3143.0529683
2458326.5336914       1.0027249       0.0010737            nan   3151.6175449      3.3748146   3143.0529683
2458326.5545044       1.0056672       0.0010753            nan   3160.8652787      3.3798165   3143.0529683
2458326.5753784       1.0055561       0.0010758            nan   3160.5159868      3.3813829   3143.0529683
2458326.5961914       1.0030549       0.0010761            nan   3152.6547445      3.3822870   3143.0529683
2458326.6170044       1.0028227       0.0010767            nan   3151.9249152      3.3842038   3143.0529683
2458326.6378784       1.0020938       0.0010770            nan   3149.6339149      3.3850371   3143.0529683
2458326.6586914       1.0021606       0.0010771            nan   3149.8437390      3.3853133   3143.0529683
2458326.6795044       1.0033389       0.0010762            nan   3153.5471527      3.3825779   3143.0529683
2458326.7003784       1.0045594       0.0010759            nan   3157.3835391      3.3815657   3143.0529683
2458326.7211914       1.0035133       0.0010754            nan   3154.0956048      3.3799984   3143.0529683
2458326.7420044       1.0023261       0.0010749            nan   3150.3639848      3.3783663   3143.0529683
2458326.7628784       1.0014740       0.0010742            nan   3147.6857355      3.3761822   3143.0529683
2458326.7836914       1.0041680       0.0010746            nan   3156.1532314      3.3773759   3143.0529683
2458326.8045044       1.0049089       0.0010750            nan   3158.4817491      3.3788733   3143.0529683
2458326.8253784       1.0036544       0.0010754            nan   3154.5389374      3.3801083   3143.0529683
2458326.8461914       1.0041939       0.0010753            nan   3156.2346378      3.3795873   3143.0529683
2458326.8670044       1.0026343       0.0010747            nan   3151.3327090      3.3777810   3143.0529683
2458326.8878784       1.0055258       0.0010736            nan   3160.4207324      3.3742530   3143.0529683
2458326.9086914       1.0017768       0.0010717            nan   3148.6375811      3.3684583   3143.0529683
2458326.9295044       1.0028144       0.0010698            nan   3151.8986573      3.3623067   3143.0529683
2458326.9503784       1.0040244       0.0010681            nan   3155.7017474      3.3570835   3143.0529683
2458326.9711914       1.0051656       0.0010668            nan   3159.2886507      3.3529448   3143.0529683
2458326.9920044       1.0046431       0.0010659            nan   3157.6463463      3.3500259   3143.0529683
2458327.0128784       1.0041231       0.0010654            nan   3156.0120715      3.3484794   3143.0529683
2458327.0336914       0.9969164       0.0010641            nan   3133.3609933      3.3445952   3143.0529683
2458327.0545044       0.9887625       0.0010626            nan   3107.7329927      3.3399587   3143.0529683
2458327.0753784       0.9870504       0.0010632            nan   3102.3516692      3.3415990   3143.0529683
2458327.0961914       0.9846771       0.0010633            nan   3094.8923840      3.3421630   3143.0529683
2458327.1170044       0.9857087       0.0010637            nan   3098.1345692      3.3434000   3143.0529683
2458327.1378784       0.9856411       0.0010641            nan   3097.9222420      3.3445335   3143.0529683
2458327.1586914       0.9882168       0.0010645            nan   3106.0178587      3.3456429   3143.0529683
2458327.1795044       1.0014073       0.0010671            nan   3147.4762617      3.3538619   3143.0529683
2458327.2003784       1.0032435       0.0010666            nan   3153.2475047      3.3525152   3143.0529683
2458327.2211914       1.0028176       0.0010659            nan   3151.9088990      3.3501902   3143.0529683
2458327.2420044       1.0045029       0.0010654            nan   3157.2058335      3.3486571   3143.0529683
2458327.2628784       1.0034635       0.0010636            nan   3153.9389482      3.3428067   3143.0529683
2458327.2836914       1.0044024       0.0010617            nan   3156.8898835      3.3369446   3143.0529683
2458327.3045044       1.0022677       0.0010603            nan   3150.1804791      3.3325119   3143.0529683
2458327.3253784       1.0029401       0.0010602            nan   3152.2937447      3.3323603   3143.0529683
2458327.3461914       1.0023458       0.0010599            nan   3150.4258520      3.3312017   3143.0529683
2458327.3670044       1.0050949       0.0010602            nan   3159.0665143      3.3322035   3143.0529683
2458327.3878784       1.0021421       0.0010599            nan   3149.7856974      3.3311927   3143.0529683
2458327.4086914       1.0046634       0.0010607            nan   3157.7104293      3.3337630   3143.0529683
2458327.4295044       1.0038241       0.0010620            nan   3155.0722079      3.3379452   3143.0529683
2458327.4503784       1.0044765       0.0010638            nan   3157.1228355      3.3437354   3143.0529683
2458327.4711914       1.0044331       0.0010644            nan   3156.9863599      3.3455316   3143.0529683
2458327.4920044       1.0021258       0.0010651            nan   3149.7344725      3.3475751   3143.0529683
2458327.5128784       1.0037808       0.0010667            nan   3154.9362452      3.3527957   3143.0529683
2458327.5336914       1.0042707       0.0010685            nan   3156.4759582      3.3582725   3143.0529683
2458327.5545044       1.0026696       0.0010698            nan   3151.4436359      3.3623492   3143.0529683
2458327.5753784       1.0024133       0.0010713            nan   3150.6379699      3.3672537   3143.0529683
2458327.5961914       1.0048568       0.0010728            nan   3158.3182119      3.3719211   3143.0529683
2458327.6170044       1.0045003       0.0010733            nan   3157.1976001      3.3734286   3143.0529683
2458327.6378784       1.0055086       0.0010734            nan   3160.3667305      3.3738556   3143.0529683
2458327.6586914       1.0026596       0.0010733            nan   3151.4122820      3.3735444   3143.0529683
2458327.6795044       1.0029929       0.0010732            nan   3152.4599609      3.3732210   3143.0529683
2458327.7003784       1.0058695       0.0010738            nan   3161.5011005      3.3750365   3143.0529683
2458327.7211914       1.0022881       0.0010736            nan   3150.2446940      3.3742492   3143.0529683
2458327.7420044       1.0043447       0.0010741            nan   3156.7087030      3.3759698   3143.0529683
2458327.7628784       1.0037200       0.0010743            nan   3154.7450372      3.3765444   3143.0529683
2458327.7836914       1.0044107       0.0010745            nan   3156.9159455      3.3771227   3143.0529683
2458327.8045044       1.0035209       0.0010746            nan   3154.1192678      3.3774390   3143.0529683
2458327.8253784       1.0036982       0.0010744            nan   3154.6765282      3.3768321   3143.0529683
2458327.8670044       1.0025533       0.0010736            nan   3151.0782667      3.3744238   3143.0529683
2458327.8878784       1.0050358       0.0010731            nan   3158.8809081      3.3729210   3143.0529683
2458327.9086914       1.0035675       0.0010722            nan   3154.2657671      3.3701260   3143.0529683
2458327.9295044       1.0038366       0.0010709            nan   3155.1115028      3.3657925   3143.0529683
2458327.9503784       1.0038013       0.0010696            nan   3155.0007781      3.3617738   3143.0529683
2458327.9711914       1.0031611       0.0010682            nan   3152.9883948      3.3575368   3143.0529683
2458327.9920044       1.0028691       0.0010675            nan   3152.0706007      3.3553603   3143.0529683
2458328.0128784       1.0052169       0.0010675            nan   3159.4498973      3.3552306   3143.0529683
2458328.0336914       1.0033940       0.0010671            nan   3153.7204136      3.3538486   3143.0529683
2458328.0545044       1.0051531       0.0010677            nan   3159.2494389      3.3557438   3143.0529683
2458328.0753784       1.0038145       0.0010683            nan   3155.0420493      3.3578638   3143.0529683
2458328.0961914       1.0054044       0.0010691            nan   3160.0392523      3.3602190   3143.0529683
2458328.1170044       1.0039756       0.0010696            nan   3155.5483401      3.3618465   3143.0529683
2458328.1378784       1.0032868       0.0010696            nan   3153.3834256      3.3619181   3143.0529683
2458328.1586914       1.0041240       0.0010701            nan   3156.0148718      3.3633243   3143.0529683
2458328.1795044       1.0027589       0.0010698            nan   3151.7244526      3.3624811   3143.0529683
2458328.2003784       1.0030416       0.0010697            nan   3152.6127933      3.3619775   3143.0529683
2458328.2211914       1.0041556       0.0010691            nan   3156.1141058      3.3603229   3143.0529683
2458328.2420044       1.0017236       0.0010685            nan   3148.4704375      3.3584322   3143.0529683
2458328.2628784       1.0030927       0.0010682            nan   3152.7736142      3.3572916   3143.0529683
2458328.2836914       1.0030717       0.0010678            nan   3152.7074907      3.3561857   3143.0529683
2458328.3045044       1.0036472       0.0010671            nan   3154.5164565      3.3540503   3143.0529683
2458328.3253784       1.0020656       0.0010664            nan   3149.5453938      3.3517730   3143.0529683
2458328.3461914       1.0024999       0.0010664            nan   3150.9102834      3.3517489   3143.0529683
2458328.3670044       1.0026596       0.0010665            nan   3151.4123352      3.3519211   3143.0529683
2458328.3878784       1.0033635       0.0010668            nan   3153.6247458      3.3530238   3143.0529683
2458328.4086914       1.0047755       0.0010671            nan   3158.0625338      3.3540159   3143.0529683
2458328.4295044       1.0035038       0.0010676            nan   3154.0657350      3.3554948   3143.0529683
2458328.4503784       1.0028741       0.0010680            nan   3152.0865149      3.3566683   3143.0529683
2458328.4711914       1.0058755       0.0010692            nan   3161.5200027      3.3604463   3143.0529683
2458328.4920044       1.0050692       0.0010698            nan   3158.9856380      3.3624770   3143.0529683
2458328.5128784       1.0031404       0.0010711            nan   3152.9234096      3.3665471   3143.0529683
2458328.5336914       1.0021001       0.0010728            nan   3149.6535893      3.3719241   3143.0529683
2458328.5545044       1.0016624       0.0010744            nan   3148.2780445      3.3767670   3143.0529683
2458328.5753784       1.0030766       0.0010757            nan   3152.7229032      3.3808598   3143.0529683
2458328.5961914       1.0015795       0.0010768            nan   3148.0175701      3.3842870   3143.0529683
2458328.6170044       1.0054367       0.0010783            nan   3160.1409040      3.3890149   3143.0529683
2458328.6378784       1.0034125       0.0010778            nan   3153.7785902      3.3876392   3143.0529683
2458328.6586914       1.0015186       0.0010776            nan   3147.8261309      3.3868827   3143.0529683
2458328.6795044       1.0032941       0.0010778            nan   3153.4065020      3.3877373   3143.0529683
2458328.7003784       1.0037172       0.0010780            nan   3154.7364024      3.3880654   3143.0529683
2458328.7211914       1.0041597       0.0010782            nan   3156.1272337      3.3887390   3143.0529683
2458328.7420044       1.0024599       0.0010785            nan   3150.7845673      3.3897181   3143.0529683
2458328.7628784       1.0020334       0.0010788            nan   3149.4440136      3.3906824   3143.0529683
2458328.7836914       1.0026508       0.0010794            nan   3151.3845274      3.3925613   3143.0529683
2458328.8045044       1.0040867       0.0010797            nan   3155.8976161      3.3935346   3143.0529683
2458328.8253784       1.0010369       0.0010791            nan   3146.3118685      3.3917181   3143.0529683
2458328.8461914       1.0034012       0.0010793            nan   3153.7430265      3.3921922   3143.0529683
2458328.8670044       1.0055346       0.0010790            nan   3160.4484879      3.3912714   3143.0529683
2458328.8878784       1.0019284       0.0010777            nan   3149.1140262      3.3874137   3143.0529683
2458328.9086914       1.0031210       0.0010770            nan   3152.8624855      3.3849508   3143.0529683
2458328.9295044       1.0040013       0.0010761            nan   3155.6293005      3.3823346   3143.0529683
2458328.9503784       1.0030147       0.0010745            nan   3152.5282240      3.3771222   3143.0529683
2458328.9711914       1.0035444       0.0010738            nan   3154.1930691      3.3749619   3143.0529683
2458328.9920044       1.0049679       0.0010732            nan   3158.6674378      3.3730090   3143.0529683
2458329.0128784       1.0040476       0.0010722            nan   3155.7747296      3.3701254   3143.0529683
2458329.0336914       1.0031152       0.0010721            nan   3152.8442376      3.3695289   3143.0529683
